California Department of Finance,,,,,,,,,,,,,,,,Census 2010,
Demographic Research Unit,,,,,,,,,,,,,,,,Demographic Profile Summary File,
State Census Data Center,,,,,,,,,,,,,,,,Generated on 8/25/2011,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,
"Table 1:  Population, Age and Sex Characteristics,  April 1, 2010",,,,,,,,,,,,,,,,,
Zip Code Tabulation Areas in California,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geography,Total population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size,Average Family size,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,
ZCTA5 94558,"66,830","33,449","33,381",41.1,39.5,42.7,2.68,3.18,"3,812","15,348","49,064","19,816","15,080","10,730",49.9%,23.0%,
ZCTA5 94559,"27,184","13,640","13,544",35.7,34.5,37.2,2.61,3.22,"1,913","6,475","19,706","6,151","4,405","2,981",49.8%,23.8%,
ZCTA5 94560,"42,573","21,217","21,356",35.4,34.4,36.5,3.27,3.6,"3,142","10,799","30,154","8,980","6,511","4,526",50.2%,25.4%,
ZCTA5 94561,"36,515","18,183","18,332",32.2,31.5,32.8,3.27,3.6,"2,746","11,044","23,734","5,900","3,987","2,527",50.2%,30.2%,
ZCTA5 94563,"17,672","8,583","9,089",47.8,47.6,48,2.69,3.03,805,"4,520","12,803","6,481","4,989","3,559",51.4%,25.6%,
ZCTA5 94564,"18,287","8,690","9,597",42.6,40.5,44.2,2.70,3.18,928,"3,745","13,786","5,553","4,105","2,838",52.5%,20.5%,
ZCTA5 94565,"84,641","41,479","43,162",31.8,30.7,32.8,3.27,3.68,"6,937","23,895","56,745","15,306","10,449","6,825",51.0%,28.2%,
ZCTA5 94566,"40,884","19,896","20,988",42.2,41.4,42.9,2.73,3.18,"2,100","10,825","28,885","10,286","7,398","5,155",51.3%,26.5%,
ZCTA5 94567,623,302,321,39.8,39.5,40.1,2.69,3.05,31,144,469,183,124,66,51.5%,23.1%,
ZCTA5 94568,"46,016","23,972","22,044",35.3,34.7,35.9,2.70,3.19,"3,401","10,288","34,202","7,636","5,209","3,357",47.9%,22.4%,
ZCTA5 94569,198,97,101,53.3,53.5,53.3,1.90,2.58,1,19,174,90,58,41,51.0%,9.6%,
ZCTA5 94571,"7,911","3,841","4,070",56.3,55.8,56.8,2.15,2.63,305,"1,255","6,469","4,105","3,452","2,462",51.4%,15.9%,
ZCTA5 94572,"8,684","4,239","4,445",38.1,36.3,39.7,2.97,3.41,520,"2,129","6,160","2,181","1,579","1,055",51.2%,24.5%,
ZCTA5 94573,94,50,44,46,48.5,45.5,2.35,2.92,3,23,68,34,21,15,46.8%,24.5%,
ZCTA5 94574,"8,742","4,188","4,554",45.3,43.4,47.1,2.36,2.94,421,"1,773","6,716","3,146","2,468","1,775",52.1%,20.3%,
ZCTA5 94575,974,391,583,19.6,19.8,19.6,1.00,0,0,2,252,24,21,15,59.9%,0.2%,
ZCTA5 94576,164,70,94,49.5,49,50,2.10,2.63,3,23,135,66,45,28,57.3%,14.0%,
ZCTA5 94577,"45,560","21,851","23,709",39.5,37.9,40.9,2.70,3.33,"2,906","10,202","33,758","11,938","8,834","6,217",52.0%,22.4%,
ZCTA5 94578,"38,558","18,756","19,802",34,33.1,35.1,2.70,3.32,"2,879","9,603","27,449","7,873","5,616","3,798",51.4%,24.9%,
ZCTA5 94579,"20,571","9,929","10,642",40.8,39.2,42.3,3.05,3.51,"1,155","4,661","15,170","5,741","4,372","3,154",51.7%,22.7%,
ZCTA5 94580,"27,152","13,261","13,891",37.3,35.9,38.5,3.13,3.54,"1,671","6,599","19,313","6,351","4,568","3,235",51.2%,24.3%,
ZCTA5 94582,"38,537","18,934","19,603",35.9,35.9,35.9,2.98,3.43,"3,570","12,673","25,165","5,314","3,647","2,255",50.9%,32.9%,
ZCTA5 94583,"34,859","17,136","17,723",39,38,39.9,2.73,3.18,"2,224","9,069","24,818","7,743","5,393","3,428",50.8%,26.0%,
ZCTA5 94585,"28,263","13,974","14,289",33,32,34,3.14,3.51,"2,115","7,739","19,252","5,403","3,577","2,191",50.6%,27.4%,
ZCTA5 94586,925,466,459,49.2,48.4,49.7,2.49,2.88,27,149,742,346,238,149,49.6%,16.1%,
ZCTA5 94587,"69,516","34,318","35,198",36.2,34.9,37.5,3.38,3.69,"4,746","16,847","49,933","15,971","11,536","7,710",50.6%,24.2%,
ZCTA5 94588,"30,842","15,271","15,571",38.8,38.1,39.4,2.82,3.22,"1,855","8,513","21,392","6,246","4,255","2,775",50.5%,27.6%,
ZCTA5 94589,"29,876","14,542","15,334",36.9,34.6,39.1,3.21,3.64,"1,987","7,385","21,126","7,722","5,602","3,817",51.3%,24.7%,
ZCTA5 94590,"35,420","17,214","18,206",36.1,34.4,37.7,2.50,3.19,"2,573","8,307","25,434","8,383","6,024","4,034",51.4%,23.5%,
ZCTA5 94591,"53,042","25,772","27,270",39.3,37.6,40.7,2.87,3.33,"3,191","11,923","38,919","14,231","9,873","6,403",51.4%,22.5%,
ZCTA5 94592,742,364,378,35.1,36.6,33.4,2.97,3.17,57,153,578,131,86,43,50.9%,20.6%,
ZCTA5 94595,"16,425","6,703","9,722",66.9,61.8,70.1,1.70,2.54,429,"1,790","14,442","10,820","9,904","8,680",59.2%,10.9%,
ZCTA5 94596,"20,037","9,902","10,135",39.8,38.4,41.2,2.12,2.85,895,"3,580","15,961","5,474","4,096","2,819",50.6%,17.9%,
ZCTA5 94597,"20,277","9,750","10,527",39.2,37.6,40.7,2.10,2.81,"1,183","3,507","16,310","5,310","3,912","2,691",51.9%,17.3%,
ZCTA5 94598,"25,818","12,335","13,483",47.2,46.1,48.1,2.46,2.94,"1,066","5,475","19,715","9,423","7,385","5,550",52.2%,21.2%,
ZCTA5 94599,"3,021","1,735","1,286",63.8,66.3,60.6,1.86,2.52,67,243,"2,754","1,972","1,726","1,454",42.6%,8.0%,
ZCTA5 94601,"50,294","25,820","24,474",30.9,30.4,31.7,3.34,3.82,"4,205","13,600","34,348","8,395","5,922","3,992",48.7%,27.0%,
ZCTA5 94602,"28,329","13,180","15,149",41.3,40.2,42.4,2.41,3.04,"1,869","5,793","21,848","8,012","5,665","3,677",53.5%,20.4%,
ZCTA5 94603,"31,403","15,430","15,973",29.7,28.8,30.6,3.52,3.94,"2,823","9,664","20,139","4,834","3,413","2,380",50.9%,30.8%,
ZCTA5 94605,"39,016","18,297","20,719",38.1,36.2,39.5,2.63,3.21,"2,649","9,122","28,359","10,026","7,226","4,781",53.1%,23.4%,
ZCTA5 94606,"36,672","18,044","18,628",35.5,35.2,35.7,2.49,3.39,"2,201","7,137","28,221","7,856","5,609","3,861",50.8%,19.5%,
ZCTA5 94607,"24,978","12,585","12,393",36,35.3,36.6,2.26,3.08,"1,488","4,644","19,380","5,842","4,234","2,991",49.6%,18.6%,
ZCTA5 94608,"28,019","13,883","14,136",35.5,35.4,35.7,2.08,2.92,"1,389","4,225","22,866","5,740","4,135","2,716",50.5%,15.1%,
ZCTA5 94609,"20,596","9,799","10,797",34.6,34.6,34.7,2.12,2.9,"1,062","3,022","17,006","3,896","2,774","1,827",52.4%,14.7%,
ZCTA5 94610,"29,287","13,633","15,654",39.5,39.5,39.6,1.91,2.79,"1,527","4,303","24,549","7,580","5,404","3,366",53.5%,14.7%,
ZCTA5 94611,"36,565","17,345","19,220",43.9,43.5,44.2,2.15,2.83,"1,971","6,814","29,214","11,841","8,867","6,008",52.6%,18.6%,
ZCTA5 94612,"14,389","7,476","6,913",40.2,40.8,39.2,1.65,2.75,526,"1,491","12,594","4,372","3,480","2,684",48.0%,10.4%,
ZCTA5 94613,715,74,641,20.6,22.8,20.6,5.40,5,1,21,311,6,4,2,89.7%,2.9%,
ZCTA5 94618,"16,046","7,464","8,582",41.5,41.6,41.4,2.17,2.79,"1,007","2,813","12,810","4,796","3,592","2,350",53.5%,17.5%,
ZCTA5 94619,"23,299","10,841","12,458",40.5,39,41.8,2.53,3.12,"1,434","4,767","17,596","6,461","4,667","3,025",53.5%,20.5%,
ZCTA5 94621,"29,870","14,789","15,081",28.8,28,29.7,3.49,3.94,"2,776","9,431","18,792","4,456","3,132","2,187",50.5%,31.6%,
ZCTA5 94702,"15,979","7,520","8,459",39.5,37.6,41.2,2.14,2.92,885,"2,716","12,791","4,381","3,252","2,201",52.9%,17.0%,
ZCTA5 94703,"19,846","9,743","10,103",35.7,34.2,37.1,2.21,2.93,"1,017","3,265","15,874","4,588","3,301","2,142",50.9%,16.5%,
ZCTA5 94704,"25,592","12,851","12,741",21.7,22,21.4,2.06,2.56,239,752,"15,549","2,004","1,453",941,49.8%,2.9%,
ZCTA5 94705,"12,762","6,081","6,681",42.7,41.8,43.4,2.19,2.75,526,"1,843","10,481","4,253","3,225","2,220",52.4%,14.4%,
ZCTA5 94706,"19,615","9,322","10,293",37.3,36.1,38.6,2.47,2.99,"1,470","4,843","14,371","4,423","3,160","1,973",52.5%,24.7%,
ZCTA5 94707,"11,710","5,482","6,228",50.4,49.8,51,2.36,2.76,525,"2,188","9,347","4,996","3,893","2,650",53.2%,18.7%,
ZCTA5 94708,"10,985","5,334","5,651",50.4,49.4,51.5,2.30,2.69,497,"1,842","9,007","4,677","3,716","2,675",51.4%,16.8%,
ZCTA5 94709,"11,806","6,083","5,723",27.8,27.8,27.8,1.93,2.6,278,810,"9,060","2,102","1,635","1,116",48.5%,6.9%,
ZCTA5 94710,"6,948","3,469","3,479",36.3,35.3,37.5,2.41,3.15,401,"1,406","5,317","1,499","1,002",596,50.1%,20.2%,
ZCTA5 94720,"2,964","1,398","1,566",19.8,19.9,19.7,2.62,2.62,45,100,970,17,10,7,52.8%,3.4%,
ZCTA5 94801,"29,395","14,759","14,636",31.2,30.9,31.5,3.20,3.8,"2,589","8,536","19,444","5,113","3,614","2,380",49.8%,29.0%,
ZCTA5 94803,"24,904","12,127","12,777",42.3,41.4,43.2,2.72,3.16,"1,323","5,161","18,845","7,250","5,224","3,364",51.3%,20.7%,
ZCTA5 94804,"38,559","18,513","20,046",34.3,32.9,35.6,2.75,3.4,"3,015","9,793","27,089","8,122","5,882","3,936",52.0%,25.4%,
ZCTA5 94805,"13,648","6,583","7,065",40,38.8,41.1,2.65,3.21,841,"2,973","10,179","3,589","2,552","1,665",51.8%,21.8%,
ZCTA5 94806,"59,861","29,365","30,496",33.2,32,34.4,3.09,3.66,"4,445","15,451","41,554","11,756","8,628","5,876",50.9%,25.8%,
ZCTA5 94850,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
ZCTA5 94901,"41,157","21,229","19,928",37.9,36.3,39.8,2.56,3.08,"2,772","8,186","31,386","10,559","7,785","5,235",48.4%,19.9%,
ZCTA5 94903,"29,040","13,566","15,474",46.9,43.9,49.4,2.31,2.9,"1,390","5,631","22,728","10,685","8,396","6,466",53.3%,19.4%,
ZCTA5 94904,"11,995","5,502","6,493",48.8,47.3,49.8,2.21,2.87,587,"2,574","9,243","4,753","3,714","2,734",54.1%,21.5%,
ZCTA5 94920,"12,474","5,798","6,676",49,48.5,49.5,2.33,2.89,675,"2,895","9,387","5,030","3,976","2,869",53.5%,23.2%,
ZCTA5 94922,425,215,210,44.3,44.5,44,2.26,3.02,23,81,329,158,108,60,49.4%,19.1%,
ZCTA5 94923,"1,411",721,690,57.3,57.4,57.3,1.98,2.46,37,152,"1,232",765,616,414,48.9%,10.8%,
ZCTA5 94924,"1,638",878,760,49.2,48.1,50.8,2.05,2.65,71,234,"1,366",695,507,286,46.4%,14.3%,
ZCTA5 94925,"9,253","4,316","4,937",44.2,43.1,45,2.44,2.99,577,"2,332","6,738","2,831","2,099","1,483",53.4%,25.2%,
ZCTA5 94928,"43,170","20,731","22,439",31.1,30.7,31.7,2.57,3.12,"2,305","8,588","30,071","8,460","5,837","3,803",52.0%,19.9%,
ZCTA5 94929,264,129,135,58.3,58.5,57.8,1.90,2.32,5,22,239,150,118,72,51.1%,8.3%,
ZCTA5 94930,"8,500","4,144","4,356",46.1,45.6,46.5,2.23,2.79,390,"1,671","6,674","2,796","1,905","1,143",51.2%,19.7%,
ZCTA5 94931,"8,470","4,056","4,414",37.8,36.2,39.1,2.42,2.97,462,"1,802","6,295","1,986","1,334",828,52.1%,21.3%,
ZCTA5 94933,865,422,443,48.5,48.9,47.9,2.21,2.78,30,172,665,295,182,96,51.2%,19.9%,
ZCTA5 94937,837,385,452,54.7,54.8,54.5,1.96,2.59,27,111,714,411,338,206,54.0%,13.3%,
ZCTA5 94938,812,399,413,48.3,47.9,48.5,2.17,2.8,38,148,648,300,217,116,50.9%,18.2%,
ZCTA5 94939,"6,859","3,182","3,677",46.5,45.6,47.2,2.08,2.83,332,"1,371","5,360","2,314","1,757","1,170",53.6%,20.0%,
ZCTA5 94940,268,138,130,54,49.5,55,2.03,2.63,10,39,227,126,84,50,48.5%,14.6%,
ZCTA5 94941,"30,496","14,417","16,079",45.5,45.2,45.8,2.29,2.92,"1,913","7,090","22,942","10,145","7,519","5,078",52.7%,23.2%,
ZCTA5 94945,"17,167","8,447","8,720",44.7,43.3,45.9,2.55,2.99,864,"3,650","13,005","5,589","4,080","2,721",50.8%,21.3%,
ZCTA5 94946,699,365,334,47.7,47.1,48.4,2.44,2.94,21,139,540,244,174,108,47.8%,19.9%,
ZCTA5 94947,"24,283","11,659","12,624",44.1,42.6,45.3,2.53,3,"1,282","5,281","18,294","7,752","5,798","4,029",52.0%,21.7%,
ZCTA5 94949,"17,202","8,291","8,911",41.7,39.4,43.7,2.48,3.08,"1,189","4,129","12,611","5,120","3,887","2,752",51.8%,24.0%,
ZCTA5 94950,89,46,43,51.5,53,50.8,2.00,2.81,3,14,72,38,26,17,48.3%,15.7%,
ZCTA5 94951,"4,124","2,072","2,052",45.2,45.1,45.4,2.48,2.94,158,744,"3,210","1,318",950,597,49.8%,18.0%,
ZCTA5 94952,"32,858","16,353","16,505",42.1,40.4,44,2.44,2.97,"1,736","6,848","24,841","9,634","6,877","4,490",50.2%,20.8%,
ZCTA5 94954,"37,365","18,336","19,029",39.4,37.6,41,2.79,3.24,"2,274","9,124","26,804","9,395","6,846","4,844",50.9%,24.4%,
ZCTA5 94956,"1,756",801,955,51.1,49.4,52.7,2.09,2.81,87,304,"1,412",767,602,383,54.4%,17.3%,
ZCTA5 94957,"1,332",639,693,46.4,46.6,46.1,3.00,3.23,69,383,917,465,344,250,52.0%,28.8%,
ZCTA5 94960,"15,740","7,399","8,341",45.3,44.9,45.7,2.43,2.97,917,"3,838","11,563","4,968","3,488","2,216",53.0%,24.4%,
ZCTA5 94963,569,275,294,51.4,52.8,49.9,2.30,2.63,21,93,459,249,175,96,51.7%,16.3%,
ZCTA5 94964,"5,094","4,970",124,40.8,40.8,44,2.42,3.08,9,43,"4,933",609,268,89,2.4%,0.8%,
ZCTA5 94965,"10,847","5,113","5,734",47.9,47.7,48,1.83,2.52,541,"1,340","9,336","4,092","3,089","1,969",52.9%,12.4%,
ZCTA5 94970,683,336,347,55.4,55.8,54.6,1.84,2.5,15,77,597,348,263,149,50.8%,11.3%,
ZCTA5 94971,337,156,181,49.8,49.2,50.3,2.14,2.71,8,49,280,137,94,65,53.7%,14.5%,
ZCTA5 94972,52,30,22,30.8,31,30.7,2.48,3.22,3,8,41,9,7,4,42.3%,15.4%,
ZCTA5 94973,"1,429",690,739,50.4,49.9,51.1,2.27,2.73,49,249,"1,153",584,411,236,51.7%,17.4%,
ZCTA5 95002,"2,077","1,060","1,017",35.4,34.5,36.5,3.59,3.99,133,537,"1,450",384,270,193,49.0%,25.9%,
ZCTA5 95003,"23,974","11,609","12,365",46.2,45.4,47,2.38,2.85,"1,120","4,625","18,552","8,308","5,996","3,909",51.6%,19.3%,
ZCTA5 95004,"3,918","1,963","1,955",43.8,43.3,44.2,2.90,3.27,190,861,"2,904","1,155",749,459,49.9%,22.0%,
ZCTA5 95005,"6,311","3,202","3,109",43.7,43,44.7,2.51,2.96,298,"1,247","4,816","1,816","1,150",623,49.3%,19.8%,
ZCTA5 95006,"8,979","4,662","4,317",46,45.9,46.1,2.32,2.8,444,"1,544","7,163","2,701","1,606",816,48.1%,17.2%,
ZCTA5 95007,676,350,326,40.6,40.3,41.2,2.70,3.3,40,166,487,160,95,50,48.2%,24.6%,
ZCTA5 95008,"45,260","22,235","23,025",38.5,37.4,39.6,2.43,3.06,"2,914","9,523","34,421","10,241","7,332","5,230",50.9%,21.0%,
ZCTA5 95010,"9,137","4,319","4,818",42.2,39.4,45,2.09,2.75,447,"1,488","7,288","2,899","2,112","1,451",52.7%,16.3%,
ZCTA5 95012,"10,320","5,264","5,056",27.8,27.3,28.4,4.08,4.23,966,"3,379","6,371","1,513","1,096",731,49.0%,32.7%,
ZCTA5 95013,80,46,34,38.6,40.5,35,2.76,3.33,2,17,58,19,14,12,42.5%,21.3%,
ZCTA5 95014,"60,717","30,006","30,711",39.5,39.2,39.8,2.86,3.27,"3,311","16,679","42,286","13,466","9,906","7,387",50.6%,27.5%,
ZCTA5 95017,834,459,375,43.4,43.5,43.4,2.33,2.97,37,142,664,237,159,82,45.0%,17.0%,
ZCTA5 95018,"7,778","3,907","3,871",43.5,43.2,43.8,2.40,2.91,355,"1,467","6,057","2,185","1,382",734,49.8%,18.9%,
ZCTA5 95019,"7,727","3,842","3,885",28.3,27.5,29.2,3.88,4.34,741,"2,515","4,784","1,245",919,643,50.3%,32.5%,
ZCTA5 95020,"57,349","28,607","28,742",33.3,32.6,33.9,3.37,3.67,"4,665","17,150","37,776","10,841","7,725","5,198",50.1%,29.9%,
ZCTA5 95023,"48,841","24,428","24,413",33.4,32.3,34.3,3.36,3.66,"3,710","14,614","32,096","9,419","6,663","4,535",50.0%,29.9%,
ZCTA5 95030,"12,791","6,189","6,602",48.1,47.9,48.2,2.40,2.94,476,"2,743","9,766","4,537","3,456","2,517",51.6%,21.4%,
ZCTA5 95032,"25,089","12,107","12,982",43.7,42.6,44.5,2.45,3.02,"1,292","5,995","18,480","7,390","5,674","4,201",51.7%,23.9%,
ZCTA5 95033,"9,372","4,843","4,529",46.7,47.2,46.3,2.48,2.91,442,"1,899","7,258","2,931","2,025","1,207",48.3%,20.3%,
ZCTA5 95035,"66,943","34,220","32,723",36.1,35.4,36.9,3.34,3.61,"4,612","15,328","49,084","13,652","9,599","6,363",48.9%,22.9%,
ZCTA5 95037,"45,579","22,688","22,891",38,37,38.9,3.03,3.38,"3,153","12,525","31,365","10,207","7,194","4,733",50.2%,27.5%,
ZCTA5 95039,"1,377",708,669,35.6,35.3,35.9,3.18,3.64,88,341,979,293,210,135,48.6%,24.8%,
ZCTA5 95041,160,74,86,36,37,35.5,2.35,3.08,12,34,118,38,25,16,53.8%,21.3%,
ZCTA5 95043,639,321,318,48.4,48.5,48.3,2.28,2.86,26,116,514,232,168,98,49.8%,18.2%,
ZCTA5 95045,"4,046","2,005","2,041",40.7,40.9,40.5,2.83,3.27,271,940,"2,945","1,137",783,522,50.4%,23.2%,
ZCTA5 95046,"6,417","3,258","3,159",38.7,39,38.5,3.44,3.69,392,"1,604","4,514","1,595","1,133",750,49.2%,25.0%,
ZCTA5 95050,"35,923","18,083","17,840",33.9,33,34.9,2.52,3.13,"2,560","7,164","27,160","7,250","5,333","3,839",49.7%,19.9%,
ZCTA5 95051,"54,327","27,294","27,033",35.9,35.6,36.4,2.68,3.18,"4,146","12,162","40,730","11,557","8,528","6,173",49.8%,22.4%,
ZCTA5 95053,"2,206","1,027","1,179",19.7,19.7,19.6,1.92,2.22,1,5,336,7,2,0,53.4%,0.2%,
ZCTA5 95054,"23,364","12,068","11,296",32.9,33.1,32.7,2.71,3.26,"2,349","5,322","17,423","3,293","2,377","1,553",48.3%,22.8%,
ZCTA5 95060,"46,377","23,805","22,572",34.7,34.2,35.3,2.43,2.91,"1,860","6,975","35,618","11,063","7,711","4,952",48.7%,15.0%,
ZCTA5 95062,"36,079","17,816","18,263",38.5,36.9,40.2,2.34,2.97,"1,886","6,528","28,009","9,256","6,382","4,176",50.6%,18.1%,
ZCTA5 95064,"7,331","3,409","3,922",19.7,19.7,19.6,2.48,2.8,94,221,"1,581",90,50,21,53.5%,3.0%,
ZCTA5 95065,"8,113","3,975","4,138",42.9,41.9,44.2,2.51,3.03,419,"1,666","6,180","2,564","1,823","1,210",51.0%,20.5%,
ZCTA5 95066,"14,749","7,251","7,498",42.4,41.5,43.4,2.56,3.02,724,"3,530","10,593","4,064","2,928","1,988",50.8%,23.9%,
ZCTA5 95070,"30,617","14,984","15,633",47.8,47.5,48,2.77,3.11,"1,012","7,323","22,615","10,606","8,188","6,188",51.1%,23.9%,
ZCTA5 95073,"10,154","4,982","5,172",45,43.2,46.4,2.46,2.98,467,"1,948","7,797","3,310","2,276","1,353",50.9%,19.2%,
ZCTA5 95075,331,177,154,43.7,43.5,44,2.90,3.23,14,84,235,88,51,35,46.5%,25.4%,
ZCTA5 95076,"82,474","41,745","40,729",31.1,30.2,32.3,3.63,4,"7,089","24,336","53,968","15,896","11,251","7,571",49.4%,29.5%,
ZCTA5 95110,"18,730","10,739","7,991",31.7,32,31.3,2.91,3.66,"1,329","3,985","13,938","2,440","1,654","1,100",42.7%,21.3%,
ZCTA5 95111,"58,466","29,503","28,963",31.8,31.2,32.4,3.87,4.09,"4,929","16,853","39,008","10,054","7,033","4,630",49.5%,28.8%,
ZCTA5 95112,"55,927","30,066","25,861",30.4,30.5,30.1,2.59,3.36,"3,440","9,986","40,918","9,084","6,353","4,278",46.2%,17.9%,
ZCTA5 95113,893,474,419,38,35.6,43.5,1.52,2.28,22,48,832,291,257,240,46.9%,5.4%,
ZCTA5 95116,"51,496","26,326","25,170",30.8,30.2,31.4,3.89,4.13,"4,638","14,938","34,232","8,648","6,342","4,574",48.9%,29.0%,
ZCTA5 95117,"30,067","15,205","14,862",33.6,32.6,34.6,2.75,3.27,"2,434","7,119","21,831","5,373","3,912","2,820",49.4%,23.7%,
ZCTA5 95118,"31,932","15,675","16,257",37.4,36.3,38.4,2.82,3.24,"2,280","7,905","22,928","6,961","5,193","3,746",50.9%,24.8%,
ZCTA5 95119,"9,970","5,024","4,946",36.8,36.2,37.5,3.20,3.51,673,"2,592","6,985","2,076","1,485",917,49.6%,26.0%,
ZCTA5 95120,"37,457","18,609","18,848",44.4,44.2,44.5,2.98,3.23,"1,618","9,973","26,425","10,888","8,205","5,723",50.3%,26.6%,
ZCTA5 95121,"37,469","18,692","18,777",35.3,34.2,36.3,3.95,4.08,"2,607","9,662","26,137","7,852","5,477","3,631",50.1%,25.8%,
ZCTA5 95122,"56,545","29,089","27,456",30.1,29.6,30.8,4.59,4.52,"4,835","16,501","37,221","9,123","6,497","4,458",48.6%,29.2%,
ZCTA5 95123,"62,228","30,603","31,625",35.9,34.9,36.9,2.94,3.36,"4,367","15,336","44,472","12,449","9,038","6,112",50.8%,24.6%,
ZCTA5 95124,"47,082","23,336","23,746",39.7,39,40.3,2.78,3.18,"3,338","11,935","33,695","10,981","8,040","5,825",50.4%,25.3%,
ZCTA5 95125,"51,939","25,128","26,811",39.9,38.9,40.7,2.47,3.06,"3,860","11,616","39,024","13,453","10,044","7,130",51.6%,22.4%,
ZCTA5 95126,"31,049","15,733","15,316",33.3,33,33.6,2.39,3.09,"2,500","6,539","23,580","5,467","3,834","2,547",49.3%,21.1%,
ZCTA5 95127,"61,325","31,309","30,016",32.9,31.8,34.1,3.85,4.06,"4,735","16,514","41,805","11,788","8,534","5,944",48.9%,26.9%,
ZCTA5 95128,"34,836","17,398","17,438",35.1,34.7,35.6,2.52,3.16,"2,608","7,552","26,228","7,121","5,157","3,620",50.1%,21.7%,
ZCTA5 95129,"38,720","19,031","19,689",39.4,38.6,40.1,2.75,3.24,"2,166","9,819","27,748","8,579","6,301","4,631",50.8%,25.4%,
ZCTA5 95130,"13,911","6,935","6,976",38.2,37.8,38.7,2.77,3.21,"1,003","3,327","10,125","2,958","2,124","1,510",50.1%,23.9%,
ZCTA5 95131,"28,565","14,352","14,213",35.8,35.3,36.2,3.20,3.51,"2,209","6,398","21,334","5,581","3,852","2,418",49.8%,22.4%,
ZCTA5 95132,"40,299","20,147","20,152",38.3,37.3,39.4,3.46,3.7,"2,442","9,622","29,200","9,607","7,040","4,840",50.0%,23.9%,
ZCTA5 95133,"25,401","12,512","12,889",36.1,35.3,36.9,3.43,3.69,"1,789","6,116","18,389","5,756","4,137","2,735",50.7%,24.1%,
ZCTA5 95134,"15,268","7,940","7,328",31.9,32.5,31.2,2.26,2.83,"1,491","2,805","12,203","1,586","1,023",584,48.0%,18.4%,
ZCTA5 95135,"20,120","9,630","10,490",43.5,42.9,44.1,2.85,3.37,"1,058","5,062","14,581","6,610","5,523","4,323",52.1%,25.2%,
ZCTA5 95136,"42,989","21,069","21,920",34.8,34.3,35.4,2.85,3.31,"3,397","10,288","31,268","8,647","6,253","4,154",51.0%,23.9%,
ZCTA5 95138,"18,889","9,223","9,666",36.7,36.9,36.4,3.30,3.58,"1,461","5,603","12,781","3,057","2,010","1,174",51.2%,29.7%,
ZCTA5 95139,"6,748","3,394","3,354",37.4,36.9,37.9,3.07,3.41,493,"1,736","4,768","1,451","1,022",626,49.7%,25.7%,
ZCTA5 95140,191,110,81,47.3,48,46.8,2.36,2.88,5,31,154,71,52,30,42.4%,16.2%,
ZCTA5 95148,"45,528","22,756","22,772",36.6,35.9,37.3,3.98,4.08,"2,856","11,863","31,747","9,779","6,522","4,171",50.0%,26.1%,
ZCTA5 95202,"6,521","3,279","3,242",35.8,36,35.6,2.00,3.28,632,"1,606","4,618","1,690","1,275",945,49.7%,24.6%,
ZCTA5 95203,"15,696","8,150","7,546",32,31.7,32.2,2.85,3.44,"1,397","4,347","10,590","3,095","2,147","1,366",48.1%,27.7%,
ZCTA5 95204,"27,786","13,269","14,517",37.6,35.4,39.5,2.48,3.11,"1,920","6,559","20,059","7,841","6,006","4,370",52.2%,23.6%,
ZCTA5 95205,"38,069","19,648","18,421",27.6,27.1,28.3,3.69,4.06,"3,985","12,783","23,213","6,027","4,352","3,044",48.4%,33.6%,
ZCTA5 95206,"65,004","32,466","32,538",27.7,26.6,28.9,3.96,4.2,"6,044","22,532","38,838","9,663","6,789","4,659",50.1%,34.7%,
ZCTA5 95207,"47,965","22,686","25,279",31.9,29.9,33.9,2.66,3.25,"3,952","12,898","32,493","11,374","8,767","6,345",52.7%,26.9%,
ZCTA5 95209,"39,488","19,105","20,383",35.5,33.5,37.4,3.13,3.52,"2,651","11,250","26,476","9,487","6,863","4,593",51.6%,28.5%,
ZCTA5 95210,"39,009","18,906","20,103",29.1,27.7,30.4,3.45,3.89,"3,441","12,344","24,496","7,678","5,607","3,955",51.5%,31.6%,
ZCTA5 95211,"1,545",694,851,19.6,19.6,19.5,17.20,12.67,0,5,241,45,39,29,55.1%,0.3%,
ZCTA5 95212,"25,239","12,493","12,746",32.6,31.6,33.5,3.70,4,"1,943","7,773","16,353","5,053","3,626","2,472",50.5%,30.8%,
ZCTA5 95215,"23,224","12,143","11,081",31.8,30.2,33.7,3.36,3.79,"1,824","6,924","14,974","5,009","3,688","2,585",47.7%,29.8%,
ZCTA5 95219,"27,884","13,417","14,467",36,35,36.8,2.63,3.18,"1,954","7,363","19,504","6,436","4,639","3,025",51.9%,26.4%,
ZCTA5 95220,"7,273","3,693","3,580",42.3,41.1,43.3,2.90,3.21,381,"1,760","5,236","2,186","1,637","1,139",49.2%,24.2%,
ZCTA5 95222,"5,292","2,583","2,709",47.9,46.9,48.8,2.34,2.8,270,"1,065","4,065","2,064","1,643","1,186",51.2%,20.1%,
